ticker,name,marketcap,sector,info,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
FJORD,Fjord1,3865.87,Industrials,,0.0632,0.1057,0.1153,-0.0385,-0.1012
FKRAFT,Fjordkraft Holding,5548.75,Utilities,,0.0,0.0791,0.08460000000000001,0.6547,0.6938
FLNG,FLEX LNG,4723.85,Energy,,0.0199,0.0572,0.10210000000000001,-0.2861,-0.40020000000000006
FRO,Frontline,20378.56,Energy,,-0.0008,0.08460000000000001,0.192,1.1458,0.7629
FUNCOM,Funcom,965.31,Communication services,,-0.011899999999999999,-0.0032,-0.0859,0.0462,-0.25
GIG,Gaming Innovation Group,733.06,Consumer discretionary,,0.0062,0.23600000000000002,0.4991,-0.6431999999999999,-0.6764
RISH,GC Rieber Shipping,774.30,Industrials,,,,-0.0526,0.2857,0.0526
GENT-ME,Gentian Diagnostics,770.14,Health care,,,,0.0121,-0.0741,-0.1379
GJF,Gjensidige Forsikring,89371.69,Financials,,-0.0108,0.0297,0.050300000000000004,0.3823,0.4299
GEOS-ME,Golden Energy Offshore Services,162.91,Energy,,,,,,
GOGL,Golden Ocean Group,7126.63,Industrials,,-0.0048,-0.0048,0.0132,0.0102,-0.1274
GOD,Goodtech,166.22,Industrials,LP,0.0,0.0426,-0.0455,0.9140999999999999,0.4412
GSF,Grieg Seafood,15869.30,Consumer staples,,-0.0007000000000000001,0.0316,0.0417,0.4485,0.3422
GRONG-ME,Grong Sparebank,315.08,Equity certificates,LP,,0.0192,0.0192,0.0689,0.1213
GYL,Gyldendal,895.17,Communication services,,,0.0,-0.0051,,0.0858
HAFNIA,Hafnia Limited,9700.40,Energy,,0.0058,0.018799999999999997,0.07440000000000001,,
HAVI,Havila Shipping,74.90,Energy,,-0.0125,-0.0308,-0.0426,-0.0843,-0.24100000000000002
HYARD,Havyard Group,77.89,Industrials,,-0.0338,0.21239999999999998,-0.215,-0.6796,-0.6995
HELG,Helgeland Sparebank,1717.90,Equity certificates,LP,0.018500000000000003,0.0313,0.018500000000000003,0.21289999999999998,0.1873
HEX,Hexagon Composites,5720.51,Industrials,,-0.0218,-0.0032,-0.06269999999999999,0.2843,0.3712
HIDDN,Hiddn Solutions,18.33,Information technology,,-0.0131,-0.0044,-0.0088,-0.93,-0.9442
HBC,Hofseth BioCare,3258.15,Health care,,-0.0241,-0.0202,0.2663,3.0417,2.5401
HUNT,Hunter Group,2830.78,Energy,,-0.002,0.0218,0.0512,0.5192,0.531
HLNG,HÃ¶egh LNG Holdings,2353.96,Energy,,-0.008,-0.026699999999999998,-0.0654,-0.1628,-0.2572
HSPG,HÃ¸land og Setskog Sparebank,79.80,Equity certificates,,,,0.0,0.3395,0.31129999999999997
ICE,Ice Group,4033.88,Communication services,LP,,,-0.0385,,
IDEX,IDEX Biometrics,704.38,Information technology,,-0.0375,0.15289999999999998,0.4667,-0.6448,-0.6923999999999999
INC,Incus Investor,82.78,Materials,,0.0,0.0187,-0.10439999999999999,0.3145,0.25379999999999997
INDUCT-ME,Induct,42.90,Information technology,,,,-0.11109999999999999,-0.0986,-0.015
