ticker,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,beta,beta3Year,bookValue,category,dateShortInterest,earningsQuarterlyGrowth,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,fundFamily,fundInceptionDate,heldPercentInsiders,heldPercentInstitutions,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,revenueQuarterlyGrowth,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,threeYearAverageReturn,totalAssets,trailingEps,yield,ytdReturn
GSF,0.36433363,0.28336716,,,-0.116653,,34.489,,,,18.18,2.197,17672327168,,45033708,10.91,,,-,,,,,1546214400,-,,,1,,,1569801600,492520000,1609372800,,2,4.067964,,0.06122,,110434000,,,-,,,,,,4.453,,
GRONG-ME,0.014913559,0.28336716,,,-0.117595,,234.875,,,0.027,,8.158,1407764352,,1992599,,,,-,,,,,1546214400,-,,,1,,,1569801600,53603000,1609372800,,2,0.45981905,,0.30363,,2972480,,,-,,,,,,18.033,,
HAVI,-0.11176473,0.28336716,,,1.440868,,-40.465,,,,18.47,6.243,4312494592,,9552129,-2,,,-,,,,,1546214400,2018-01-04,100/1,,1,,,1569801600,-1084418944,1609372800,,4,,,-1.5698301,,23776300,,,-,,,,,,-45.601,,
HAFNIA,Infinity,0.28336716,,,,,2.922,,,,164.645,29.247,10774223872,,,,,,-,,,,,1546214400,-,,,1,,,1569801600,-19781000,1609372800,,2,9.342916,,-0.0537,,,,,-,,,,,,-0.161,,
HYARD,-0.6704081,0.28336716,,,-0.243765,,6.653,,,,-5.454,0.315,919525632,,7737999,,,,-,,,,,1546214400,-,,,1,,,1561852800,-215399008,1609372800,,4,0.47797987,,-0.07383,,24726000,,,-,,,,,,-8.68,,
HELG,0.13888884,0.28336716,,,0.452936,,166.53,,,0.177,,24.543,13081531392,,11655923,10.32,,,-,,,,,1546214400,2010-04-06,1/2,,1,,,1569801600,128090000,1609372800,,2,0.5044136,,0.34146,,20861100,,,-,,,,,,6.1,,
HIDDN,-0.91940296,0.28336716,,,1.964,,-0.402,,,,-0.188,0.398,8027163,,2477515,,,,-,,,,,1546214400,2019-09-17,20/1,,1,,,1561852800,-56525000,1609372800,,4,,,-2.19189,,16077400,,,-,,,,,,-9.214,,
HUNT,0.64377606,0.28336716,,,0.349155,,0.339,,,,3938.382,9740.122,3203428864,,352092784,0.01,,,-,,,,,1546214400,2017-12-08,10/1,,1,,,1569801600,1185250,1609372800,,2,16.165192,,5.4448795,,575361984,,,-,,,,,,0.003,,
HEX,0.4870776,0.28336716,,,0.450522,,11.922,,,0.704,35.138,2.77,8035208192,,91248972,0.88,,,-,,,,,1546214400,-,,,1,,,1569801600,119872000,1609372800,,2,3.048985,,0.04132,,181316000,,,-,,,,,,0.7,,
HBC,2.6080003,0.28336716,,,0.687047,,0.448,,,,-63.177,41.438,2946622720,,129293615,,,,-,,,,,1546214400,-,,,1,,,1569801600,-79228000,1609372800,,2,20.089285,,-1.11418,,325815008,,,-,,,,,,-0.27,,
