ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
ALNG,Awilco LNG,Energy,3.2,3.12,3.2,128,,424.16,-0.039,0.028900000000000002,0.10339999999999999,-0.36,-0.36
AXA,Axactor,Financials,19.0,18.9,19.0,156,,2952.51,-0.0104,-0.0052,0.1585,0.018799999999999997,0.018799999999999997
AGS,Axxis Geo Solutions,Energy,1.25,1.25,1.26,1428,,73.53,0.1962,0.4501,-0.6736,-0.998,-0.998
B2H,B2Holding,Financials,9.56,9.56,9.61,659,,3916.91,-0.0304,-0.0109,0.10779999999999999,-0.19039999999999999,-0.19039999999999999
BAKKA,Bakkafrost,Consumer staples,650.0,649.0,650.0,959,,38442.37,-0.0054,-0.0060999999999999995,0.0518,0.5766,0.5766
BALT-ME,Baltic Sea Properties,Real estate,29.0,28.2,32.8,2,,193.37,,,-0.1159,-0.042800000000000005,-0.042800000000000005
BEL,Belships,Industrials,7.25,7.15,7.35,1,LP,1534.66,0.0069,,0.028399999999999998,0.4623,0.4623
BGBIO,BerGenBio,Health care,24.35,24.3,24.35,457,,1487.21,0.0296,0.0146,0.44939999999999997,-0.08800000000000001,-0.08800000000000001
BIOTEC,Biotec Pharmacon,Health care,4.75,4.55,4.75,52,,229.59,0.0326,0.0326,-0.0104,0.3494,0.3494
BSP-ME,Black Sea Property,Consumer discretionary,5.85,3.02,6.4,5,,53.71,0.8631,-0.0168,,,
BON,Bonheur,Industrials,199.0,198.0,199.0,177,,8463.85,-0.0025,0.0,0.058499999999999996,1.1779000000000002,1.1779000000000002
BOR,Borgestad,Materials,20.0,20.0,20.2,19,LP,253.78,0.0256,0.0101,0.0,0.6904,0.6904
BDRILL,Borr Drilling,Energy,75.76,75.63,75.76,890,,8395.60,-0.0218,-0.0032,0.265,-0.292,-0.292
BRG,Borregaard,Materials,95.0,94.0,95.0,186,,9465.16,-0.0063,-0.0042,0.016,0.3046,0.3046
BOUVET,Bouvet,Information technology,388.0,388.0,390.0,56,,3976.82,0.0052,0.0078000000000000005,0.0868,1.0637,1.0637
BRA-ME,BRAbank,Financials,0.46,0.46,0.48,33,,229.11,-0.0571,-0.0723,-0.4,-0.7536,-0.7536
BWLPG,BW LPG,Energy,73.85,73.85,73.9,1276,,10236.94,-0.004,-0.018000000000000002,-0.0728,1.9964,1.9964
BWO,BW Offshore Limited,Energy,66.0,66.0,66.2,998,,12207.02,0.020099999999999996,0.0092,0.08109999999999999,1.0853,1.0853
