,ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
164,PEXIP,Pexip Holding,Information technology,87.5,87.5,87.6,693,,8837.18,0.0009,-0.0146,-0.0032,,
165,PGS,PGS,Energy,3.28,3.28,3.28,736,,1269.26,-0.0091,-0.10189999999999999,-0.2394,-0.8094,-0.7248
166,PHLY,Philly Shipyard,Industrials,75.0,74.6,76.4,11,,908.09,0.013500000000000002,0.0417,-0.0718,0.7564,0.9737
167,PHO,Photocure,Health care,71.1,71.1,71.2,885,LP,1890.79,-0.0207,-0.0444,-0.0482,-0.20559999999999998,0.2365
168,PPG PREF,Pioneer Property Group,Real estate,100.0,99.5,100.0,10,,486.86,0.0,0.0,0.0087,0.027999999999999997,0.056299999999999996
169,PLCS,Polarcus,Energy,0.39,0.37,0.39,65,,199.86,0.0443,0.051399999999999994,-0.06269999999999999,-0.7075,-0.6431
170,POL,Polaris Media,Communication services,35.4,35.4,37.0,12,,1726.22,,-0.0167,-0.0275,0.005699999999999999,0.2465
171,PLT,poLight,Information technology,58.7,58.6,58.7,445,LP,531.02,0.0298,0.0191,-0.0084,0.5033,4.6125
172,PRS,Prosafe,Energy,1.32,1.3,1.32,41,,107.90,-0.0408,-0.023700000000000002,-0.22469999999999998,-0.37549999999999994,-0.8875
173,PROTCT,Protector Forsikring,Financials,51.2,51.1,51.2,524,,4192.57,0.0354,0.2673,0.4525,-0.023799999999999998,0.0331
174,QFR,Q-Free,Information technology,4.56,4.56,4.6,46,,406.86,-0.05,0.0179,0.1014,-0.32939999999999997,-0.371
175,QFUEL-ME,Quantafuel,Industrials,22.5,22.4,22.5,89,,2827.43,-0.0123,-0.0625,-0.058600000000000006,,
176,QEC,Questerre Energy Corporation,Energy,0.85,0.85,0.85,65,,362.44,0.0059,-0.0483,-0.1331,-0.4391,-0.4428
177,RAKP,RAK Petroleum,Energy,6.32,6.18,6.38,6,,1228.91,0.0194,-0.0125,-0.059500000000000004,-0.4575,-0.5157
178,REACH,Reach Subsea,Energy,1.07,1.07,1.12,23,,153.59,0.0,-0.0273,-0.0446,-0.3249,-0.5023
179,REC,REC Silicon,Information technology,2.9,2.85,2.9,186,,811.48,0.0197,0.0069,0.0069,0.08289999999999999,-0.364
180,RIVER-ME,River iGaming,Consumer discretionary,5.6,5.6,6.0,4,,106.49,-0.0968,0.0,0.0182,-0.65,-0.7724
181,ROM,RomReal,Real estate,2.48,1.8,2.0,0,,102.47,,,,,
182,ROMSB-ME,Romsdal Sparebank,Equity certificates,115.0,113.0,115.0,0,LP,225.94,,,0.036000000000000004,,
183,SDSD,S.D. Standard Drilling,Energy,0.74,0.74,0.75,17,,426.26,-0.013300000000000001,-0.0027,-0.013300000000000001,-0.45189999999999997,-0.3782
184,SAGA,Saga Tankers,Financials,0.91,0.91,0.93,4,,242.20,-0.016200000000000003,0.0,0.0187,-0.1539,-0.030699999999999998
185,SALM,SalMar,Consumer staples,427.8,427.8,427.9,2406,,48308.40,-0.0074,-0.0596,-0.054400000000000004,-0.0479,-0.022400000000000003
186,SALMON,Salmones Camanchaca,Consumer staples,56.6,56.0,56.6,2,,3735.60,0.0143,0.0366,0.052000000000000005,-0.11939999999999999,-0.18030000000000002
187,SADG,Sandnes Sparebank,Equity certificates,58.6,58.6,59.0,33,,1225.93,-0.0068000000000000005,0.0103,0.0,-0.0405,0.0045000000000000005
188,SAS NOK,SAS AB,Industrials,8.21,8.21,8.22,208,,3141.00,0.0018,0.0148,-0.1076,-0.4307,-0.33899999999999997
189,SATS,SATS,Consumer discretionary,18.84,18.84,19.0,150,,3236.02,0.0086,0.0011,-0.0765,-0.1691,
190,SBANK,Sbanken,Financials,64.4,64.4,64.5,562,,6873.13,0.0222,0.0,-0.0138,-0.1367,-0.10310000000000001
191,SCANA,Scana,Materials,1.18,1.14,1.18,147,,126.86,0.0536,-0.0167,0.3721,0.475,0.3721
192,SSO,Scatec Solar,Utilities,161.7,161.6,161.7,1623,,22259.02,0.0,0.0412,0.0426,0.303,0.7453
193,SCHA,Schibsted ser. A,Communication services,250.6,249.9,250.6,1611,,26177.67,0.0113,-0.0008,-0.0008,-0.0554,0.11380000000000001
194,SCHB,Schibsted ser. B,Communication services,227.6,226.6,227.6,392,,29434.94,0.0116,-0.012199999999999999,-0.0348,-0.09609999999999999,0.08380000000000001
195,SBX,SeaBird Exploration,Energy,4.79,4.7,4.79,37,LP,129.07,0.0862,0.0837,0.0021,-0.5761,-0.7803
196,SDRL,Seadrill,Energy,3.74,3.74,3.82,190,,374.14,0.0005,-0.0738,-0.3636,-0.8175,-0.8963
197,SSG,Self Storage Group,Industrials,24.1,24.1,24.4,62,,2032.32,-0.0123,-0.0623,-0.0398,-0.1484,0.1814
198,SBO,Selvaag Bolig,Real estate,53.0,53.0,53.3,215,,4943.89,-0.011200000000000002,0.0076,0.0664,0.0407,0.7062999999999999
199,SHLF,Shelf Drilling,Energy,2.89,2.87,2.89,105,,393.57,0.013999999999999999,-0.036699999999999997,-0.19269999999999998,-0.8376,-0.9003
200,SIOFF,Siem Offshore,Energy,0.96,0.96,0.99,70,,897.35,0.1294,-0.1351,0.0667,-0.23809999999999998,-0.4146
201,SKUE,Skue Sparebank,Equity certificates,167.0,167.0,168.0,8,LP,314.13,0.006,0.006,0.030899999999999997,0.1539,0.3529
202,SOFTOX-ME,SoftOx Solutions,Health care,57.5,57.5,58.0,206,,445.68,0.055,0.0268,-0.3716,0.8791,
203,SOGN,Sogn Sparebank,Equity certificates,101.0,99.5,102.0,5,LP,63.88,,-0.0194,-0.0288,-0.056100000000000004,0.0
204,SOLON,Solon Eiendom,Real estate,30.0,29.1,30.2,14,,2200.89,0.0067,-0.0291,0.0453,-0.2611,-0.1549
205,SOFF,Solstad Offshore,Energy,0.49,0.49,0.5,79,,142.79,-0.02,-0.0613,-0.22219999999999998,-0.4954,-0.6219
206,SBVG,SpareBank 1 BV,Equity certificates,36.0,36.0,36.5,20,LP,2268.27,0.0141,0.0084,-0.0137,-0.0236,0.028300000000000002
207,NONG,SpareBank 1 Nord-Norge,Equity certificates,64.3,64.3,64.4,270,LP,6455.59,0.0206,0.0371,0.0239,-0.11699999999999999,0.0104
208,SNOR,SpareBank 1 Nordvest,Equity certificates,110.0,110.0,111.0,3,,245.36,0.0,,0.027999999999999997,0.0144,0.0902
209,RING,SpareBank 1 Ringerike Hadeland,Equity certificates,226.0,226.0,232.0,2,,3536.99,,,0.0273,0.0526,0.1868
210,MING,SpareBank 1 SMN,Equity certificates,80.3,80.3,80.4,760,,10425.81,0.04019999999999999,0.0335,0.0415,-0.1361,-0.1344
211,SRBANK,SpareBank 1 SR-Bank,Financials,73.9,73.9,74.15,750,,18898.84,0.0379,0.031400000000000004,0.0096,-0.261,-0.2839
212,SOAG,SpareBank 1 Østfold Akershus,Equity certificates,226.0,228.0,232.0,0,LP,2799.72,,,0.0,-0.0029,0.0779
213,SPOL,SpareBank 1 Østlandet,Equity certificates,89.5,89.1,89.5,125,LP,10366.77,0.0323,0.0229,0.017,0.0296,0.10869999999999999
214,MORG,Sparebanken Møre,Equity certificates,299.0,297.0,299.0,17,LP,2949.59,0.0067,0.0,0.0067,-0.0062,-0.003
215,SOR,Sparebanken Sør,Equity certificates,99.4,99.2,99.6,20,LP,1552.59,0.0060999999999999995,0.0143,0.024700000000000003,-0.0964,0.0463
216,SBTE,Sparebanken Telemark,Equity certificates,129.0,129.0,130.0,8,,1405.92,0.048799999999999996,,0.0403,0.046,0.1427
217,SVEG,Sparebanken Vest,Equity certificates,64.4,63.9,64.4,160,LP,6909.80,0.0174,0.0387,0.0255,0.0705,0.2569
218,SPOG,Sparebanken Øst,Equity certificates,48.7,48.3,48.7,24,,1009.61,0.0231,0.0362,0.0774,-0.0385,-0.0242
