ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,bookValue,enterpriseValue,trailingEps,forwardEps,priceToBook,beta,profitMargins
AFK,Arendals Fossekompani,Industrials,2650.0,2640.0,2650.0,7,,5801.96,0.0038,0.0,-0.011200000000000002,0.0076,-0.2237,1387.5829999999999,5471960576.0,22.268,,1.9097956000000003,0.22348099999999999,0.009940000000000001
ASETEK,Asetek,Information technology,30.45,30.3,30.45,78,,753.85,0.015,0.0083,0.0518,-0.0177,-0.2902,1.534,757598016.0,0.05,0.3,19.850065,0.276923,0.0239
ATEA,Atea,Information technology,126.8,126.6,126.8,418,,13910.03,0.0144,0.0032,-0.0231,-0.014,0.1703,25.71,15880510464.0,4.684,6.93,4.9319334,0.29554600000000003,0.014090001000000001
ATLA NOK,Atlantic Petroleum,Energy,8.55,7.4,8.3,3,,31.62,,,0.0059,0.0892,0.0,,,,,,,
ASA-ME,Atlantic Sapphire,Consumer staples,138.0,137.5,138.0,109,,9836.1,0.0222,0.0824,0.0781,0.0698,0.5,3.032,9782288384.0,-0.23399999999999999,,45.514509999999994,0.536499,0.0
AURG,Aurskog Sparebank,Equity certificates,200.0,197.0,200.0,2,LP,642.84,0.0,0.0,0.0582,0.0582,0.1986,533.164,3318404096.0,20.73,14.03,0.3751191,-0.136032,0.46105
AUSS,Austevoll Seafood,Consumer staples,94.05,94.05,94.2,811,,18981.55,0.0329,0.045,0.0279,0.0444,-0.1375,58.968,35240148992.0,5.712999999999999,,1.5949328999999999,-0.378947,0.050219997999999995
AVANCE,Avance Gas Holding,Energy,52.0,52.0,52.3,1372,,3310.13,0.0,0.0019,0.0236,0.04,2.7901,5.8420000000000005,3736204032.0,0.256,0.32,8.901061,1.5959510000000001,0.08088
AVM,Avocet Mining PLC,Materials,1.56,,,0,,32.51,,,,,,,,,,,,
AWDR,Awilco Drilling,Energy,13.75,13.4,13.75,14,,750.5,0.011,-0.0036,-0.0385,-0.1129,-0.5259,5.093,709178624.0,-0.5429999999999999,-0.22,2.699784,0.9748979999999999,-0.68403
ALNG,Awilco LNG,Energy,2.43,2.43,2.49,20,,322.09,-0.028,-0.0933,-0.2186,-0.2406,-0.4527000000000001,0.774,570268096.0,-0.11,0.11,3.139535,0.48663900000000004,-0.45630002
AXA,Axactor,Financials,18.6,18.6,18.7,191,,2890.36,0.016399999999999998,0.0109,-0.0262,-0.0211,-0.0995,1.9680000000000002,2890355712.0,-0.004,0.25,9.45122,2.759514,0.05566
AGS,Axxis Geo Solutions,Energy,1.0,0.98,1.0,208,,58.82,0.002,-0.0521,0.16010000000000002,-0.2,-0.9991,7.83,42565936.0,-1.135,,0.12771392,,-0.034839999999999996
B2H,B2Holding,Financials,8.15,8.15,8.2,369,,3340.95,-0.0055000000000000005,-0.0843,-0.1563,-0.147,-0.3633,10.052999999999999,15028128768.0,0.41600000000000004,2.16,0.8107032,0.987044,0.08377000000000001
BAKKA,Bakkafrost,Consumer staples,694.5,693.0,694.5,1195,,41073.78,0.0281,0.0124,0.0619,0.06849999999999999,0.6656,13.119000000000002,34231678976.0,3.037,31.33,52.938483999999995,-0.20809699999999998,0.15745
BALT-ME,Baltic Sea Properties,Real estate,32.8,28.4,32.0,0,,218.7,,,,,,31.615,521504384.0,-2.9389999999999996,,1.0374821,1.037151,-0.29674
BEL,Belships,Industrials,7.0,7.0,7.1,4,LP,1481.74,-0.0071,,-0.0141,-0.0345,0.4707,0.718,1633980928.0,0.085,0.08,9.749303999999999,0.32307600000000003,0.11012999999999999
BGBIO,BerGenBio,Health care,20.65,20.4,20.65,474,,1261.23,-0.0213,-0.0903,-0.1396,-0.152,-0.2295,4.526,971791552.0,-3.4989999999999997,-3.85,4.5625277,1.236059,0.0
BIOTEC,Biotec Pharmacon,Health care,6.18,6.1,6.18,58,,298.71,0.0131,0.1885,0.3435,0.3011,0.3177,0.9490000000000001,294332288.0,-0.209,-0.04,6.512118,0.276923,-0.11554
BSP-ME,Black Sea Property,Consumer discretionary,5.9,3.52,5.8,0,,54.17,,,,0.0085,-0.9557,11.847999999999999,119556384.0,-2.682,,0.49797437,-11.622199,0.0
BON,Bonheur,Industrials,220.0,218.0,220.0,284,,9357.02,0.0427,0.0138,0.1055,0.1055,1.2973,140.915,12943616000.0,1.403,,1.5612249,0.420242,0.00765
BOR,Borgestad,Materials,19.0,18.5,19.0,8,LP,241.1,0.0215,-0.0155,-0.0404,-0.05,0.0129,56.58,1148150400.0,0.904,-4.23,0.33580768,0.857489,0.0062
BDRILL,Borr Drilling,Energy,64.72,64.71,64.8,800,,7172.16,0.0064,-0.0705,-0.1484,-0.1457,-0.3894,12.187999999999999,8698363904.0,-3.264,-0.14,5.3101416,1.8698279999999998,-1.18018
BRG,Borregaard,Materials,90.4,90.35,90.4,374,,9006.84,0.0044,-0.0169,-0.0524,-0.0484,0.2398,31.566999999999997,11159607296.0,4.596,5.35,2.8637502,-0.182995,0.09093001
BOUVET,Bouvet,Information technology,390.0,386.0,389.0,33,,3997.32,0.0236,0.0078,0.013,0.0052,0.936,25.959,4088174336.0,17.352,13.84,15.023691,0.359514,0.08614001
BRA-ME,BRAbank,Financials,0.58,0.59,0.64,8,,287.63,-0.0938,-0.1343,0.1647,0.2554,-0.6537000000000001,1.69,160371536.0,0.013999999999999999,,0.34319526,0.8886629999999999,0.033940002000000004
